Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence_Score
IMG_001,Unknown,fire (color-based),color analysis,,0.11
IMG_002,Fire Scene,"chair, vase",2 regions detected,,0.753
IMG_003,Unknown,bench,1 regions detected,,0.515
IMG_004,Unknown,"dining table, bottle, boat",3 regions detected,,0.412
IMG_005,Unknown,bottle,1 regions detected,,0.459
IMG_006,Unknown,airplane,2 regions detected,,0.386
IMG_007,Vehicle Accident,"bus, car, person",18 regions detected,,0.693
IMG_008,Unknown,"airplane, bowl, bottle",3 regions detected,,0.466
IMG_009,Unknown,fire (color-based),color analysis,,0.03
IMG_010,Unknown,fire (color-based),color analysis,,0.0
IMG_011,Fire Scene,fire (color-based),color analysis,,0.99
IMG_012,Unknown,fire (color-based),color analysis,wee Piney eo We,0.11
IMG_013,Unknown,mouse,1 regions detected,,0.285
IMG_014,Unknown,fire (color-based),color analysis,,0.03
IMG_015,Assault / Violence,"dining table, person, couch, tv, chair",6 regions detected,,0.843
IMG_016,Assault / Violence,"chair, person, couch",4 regions detected,,0.814
IMG_017,Assault / Violence,"chair, tv, person, couch",5 regions detected,,0.779
IMG_018,Assault / Violence,"dining table, person, couch, cup, chair",7 regions detected,,0.823
IMG_019,Assault / Violence,"person, donut",3 regions detected,,0.566
IMG_020,Assault / Violence,"dining table, person, donut",5 regions detected,,0.685
IMG_021,Assault / Violence,"cell phone, person",3 regions detected,,0.852
IMG_022,Fire Scene,fire (color-based),color analysis,,0.85
IMG_023,Assault / Violence,"toothbrush, person",2 regions detected,,0.352
IMG_024,Assault / Violence,person,1 regions detected,,0.389
IMG_025,Fire Scene,fire (color-based),color analysis,,0.99
IMG_026,Assault / Violence,person,1 regions detected,,0.502
IMG_027,Assault / Violence,person,1 regions detected,,0.555
IMG_028,Assault / Violence,person,1 regions detected,,0.415
IMG_029,Unknown,"potted plant, couch",2 regions detected,,0.653
IMG_030,Fire Scene,fire (color-based),color analysis,,0.99
IMG_031,Assault / Violence,person,1 regions detected,,0.508
IMG_032,Unknown,train,1 regions detected,baa ee 73 SEES aa Tee,0.275
IMG_033,Unknown,fire (color-based),color analysis,,0.09
IMG_034,Fire Scene,fire (color-based),color analysis,,0.72
IMG_035,Unknown,"umbrella, vase",2 regions detected,,0.52
IMG_036,Fire Scene,sports ball,1 regions detected,,0.266
